"test5","test1","test2","test1","1"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Carolina","Black or African American, not Hispanic/Latino","25.5"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Carolina","White, not Hispanic or Latino","17.6875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Carolina","Female","16.075"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Carolina","Male","22.612499999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Dakota","White","18.7875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Dakota","Not Hispanic or Latino","18.462500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Dakota","White, not Hispanic or Latino","18.4"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Dakota","Female","16.475"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","North Dakota","Male","22.125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","Black or African American","28.1375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","White","20.5125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","Not Hispanic or Latino","21.1"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","Black or African American, not Hispanic/Latino","28.149999999999995"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","White, not Hispanic or Latino","20.537500000000005"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","Female","18.05"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Ohio","Male","25.262500000000003"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","American Indian or Alaska Native","18.337500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","Black or African American","31.237499999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","White","19.325000000000003"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","Not Hispanic or Latino","19.975"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","Black or African American, not Hispanic/Latino","31.3625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","White, not Hispanic or Latino","19.487499999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","Female","16.525"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oklahoma","Male","24.312500000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oregon","White","17.8"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oregon","Not Hispanic or Latino","17.924999999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oregon","White, not Hispanic or Latino","18"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oregon","Female","15.25"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Oregon","Male","20.875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Black or African American","26.8"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","White","20.6625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Hispanic or Latino","14.071428571428571"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Not Hispanic or Latino","21.050000000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Black or African American, not Hispanic/Latino","27.112500000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","White, not Hispanic or Latino","20.6875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Female","17.7"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Pennsylvania","Male","25.6125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Rhode Island","White","19.499999999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Rhode Island","Not Hispanic or Latino","19.475"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Rhode Island","White, not Hispanic or Latino","19.5125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Rhode Island","Female","17.049999999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Rhode Island","Male","22.9125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","Black or African American","25.95"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","White","18.225"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","Not Hispanic or Latino","20.025000000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","Black or African American, not Hispanic/Latino","25.9625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","White, not Hispanic or Latino","18.35"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","Female","16.725"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Carolina","Male","24.237500000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Dakota","White","19.625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Dakota","Not Hispanic or Latino","19.7625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Dakota","White, not Hispanic or Latino","19.675"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Dakota","Female","16.6875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","South Dakota","Male","23.4625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","Black or African American","31.4875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","White","18.8625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","Not Hispanic or Latino","20.325"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","Black or African American, not Hispanic/Latino","31.625000000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","White, not Hispanic or Latino","18.9375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","Female","17.0875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Tennessee","Male","24.575000000000003"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Asian or Pacific Islander","9.9625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Black or African American","29.325000000000003"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","White","17.425"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Hispanic or Latino","14.000000000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Not Hispanic or Latino","19.2125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Black or African American, not Hispanic/Latino","29.612500000000004"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","White, not Hispanic or Latino","18.2125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Female","15.25"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Texas","Male","22.262499999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Utah","White","14.475000000000001"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Utah","Not Hispanic or Latino","14.5875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Utah","White, not Hispanic or Latino","14.612499999999999"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Utah","Female","12.625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Utah","Male","16.8625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Vermont","White","19.462500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Vermont","Not Hispanic or Latino","19.5125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Vermont","White, not Hispanic or Latino","19.5375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Vermont","Female","17.125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Vermont","Male","22.4375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Asian or Pacific Islander","11.666666666666666"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Black or African American","27.075"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","White","18.087500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Not Hispanic or Latino","19.45"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Black or African American, not Hispanic/Latino","26.974999999999998"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","White, not Hispanic or Latino","18.237499999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Female","16.4875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Virginia","Male","23.3125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Asian or Pacific Islander","12.725"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Black or African American","22.687499999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","White","17.0625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Hispanic or Latino","15.2"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Not Hispanic or Latino","17.1625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Black or African American, not Hispanic/Latino","23.1625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","White, not Hispanic or Latino","17.1875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Female","14.65"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Washington","Male","19.912499999999998"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","Black or African American","36.699999999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","White","22.187499999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","Not Hispanic or Latino","22.3875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","Black or African American, not Hispanic/Latino","36.333333333333336"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","White, not Hispanic or Latino","22.237499999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","Female","19.0875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","West Virginia","Male","26.925"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","Black or African American","24.5125"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","White","18.262499999999996"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","Not Hispanic or Latino","18.587500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","Black or African American, not Hispanic/Latino","24.875"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","White, not Hispanic or Latino","18.3625"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","Female","15.487500000000002"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wisconsin","Male","22.525"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wyoming","White","19.05"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wyoming","Not Hispanic or Latino","18.924999999999997"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wyoming","White, not Hispanic or Latino","19.0375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wyoming","Female","17.6375"
"Cancer","3-5 Colorectal cancer deaths (age adjusted per 100,000 standard population)","Wyoming","Male","20.525"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","Black or African American","3.8499999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","White","2.7750000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","Not Hispanic or Latino","2.9999999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","Black or African American, not Hispanic/Latino","3.8375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","White, not Hispanic or Latino","2.7750000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","Female","1.5999999999999999"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alabama","Male","4.800000000000001"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Alaska","Not Hispanic or Latino","5.1"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arizona","White","2.225"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arizona","Not Hispanic or Latino","2.2875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arizona","White, not Hispanic or Latino","2.3125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arizona","Female","1.2125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arizona","Male","3.325"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arkansas","White","2.7875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arkansas","Not Hispanic or Latino","2.9625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arkansas","White, not Hispanic or Latino","2.8125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arkansas","Female","1.3875000000000002"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Arkansas","Male","4.8500000000000005"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Asian or Pacific Islander","2.5500000000000003"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Black or African American","3.6125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","White","2.6500000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Hispanic or Latino","1.5875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Not Hispanic or Latino","2.95"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Black or African American, not Hispanic/Latino","3.7625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","White, not Hispanic or Latino","2.9125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Female","1.7"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","California","Male","3.9499999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Colorado","White","2.1375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Colorado","Not Hispanic or Latino","2.1624999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Colorado","White, not Hispanic or Latino","2.1875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Colorado","Female","1.4714285714285713"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Colorado","Male","2.9875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Connecticut","White","2.0749999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Connecticut","Not Hispanic or Latino","2.1625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Connecticut","White, not Hispanic or Latino","2.1125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Connecticut","Female","1.1625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Connecticut","Male","3.3625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Delaware","White","3.4"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Delaware","Not Hispanic or Latino","3.05"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Delaware","White, not Hispanic or Latino","3.3499999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Delaware","Male","5.4"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","District of Columbia","Black or African American","6.125000000000001"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","District of Columbia","Not Hispanic or Latino","4.3999999999999995"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","District of Columbia","Black or African American, not Hispanic/Latino","6.199999999999999"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","District of Columbia","Male","9.3"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Black or African American","3.4125000000000005"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","White","2.9"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Hispanic or Latino","1.7249999999999999"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Not Hispanic or Latino","3.1375000000000006"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Black or African American, not Hispanic/Latino","3.5124999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","White, not Hispanic or Latino","3.0999999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Female","1.625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Florida","Male","4.4750000000000005"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","Black or African American","3.8000000000000003"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","White","2.6625000000000005"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","Not Hispanic or Latino","2.9499999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","Black or African American, not Hispanic/Latino","3.8125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","White, not Hispanic or Latino","2.6999999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","Female","1.775"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Georgia","Male","4.425"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Hawaii","Asian or Pacific Islander","2.7125000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Hawaii","White","5.25"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Hawaii","Not Hispanic or Latino","2.9875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Hawaii","White, not Hispanic or Latino","5.5"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Hawaii","Male","4.55"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Idaho","White","2.6875000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Idaho","Not Hispanic or Latino","2.7125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Idaho","White, not Hispanic or Latino","2.7249999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Idaho","Male","4.033333333333332"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","Black or African American","4.050000000000001"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","White","2.3375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","Not Hispanic or Latino","2.6374999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","Black or African American, not Hispanic/Latino","4.05"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","White, not Hispanic or Latino","2.4124999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","Female","1.3875000000000002"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Illinois","Male","3.925"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Indiana","White","2.225"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Indiana","Not Hispanic or Latino","2.3"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Indiana","White, not Hispanic or Latino","2.2375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Indiana","Female","1.3000000000000003"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Indiana","Male","3.4625000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Iowa","White","2.375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Iowa","Not Hispanic or Latino","2.4125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Iowa","White, not Hispanic or Latino","2.4000000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Iowa","Female","1.4499999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Iowa","Male","3.55"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kansas","White","2.2125000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kansas","Not Hispanic or Latino","2.2375000000000003"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kansas","White, not Hispanic or Latino","2.2250000000000005"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kansas","Female","1.3666666666666665"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kansas","Male","3.375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kentucky","White","2.9"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kentucky","Not Hispanic or Latino","2.9749999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kentucky","White, not Hispanic or Latino","2.9"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kentucky","Female","1.575"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Kentucky","Male","4.762499999999999"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","Black or African American","4.5625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","White","3.0625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","Not Hispanic or Latino","3.4499999999999997"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","Black or African American, not Hispanic/Latino","4.5875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","White, not Hispanic or Latino","3.0875"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","Female","1.7625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Louisiana","Male","5.525"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maine","White","2.8499999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maine","Not Hispanic or Latino","2.8749999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maine","White, not Hispanic or Latino","2.85"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maine","Male","4.375"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","Black or African American","3.7249999999999996"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","White","2.5"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","Not Hispanic or Latino","2.8125"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","Black or African American, not Hispanic/Latino","3.775"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","White, not Hispanic or Latino","2.5500000000000003"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","Female","1.4"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Maryland","Male","4.5"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Massachusetts","White","2.625"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Massachusetts","Not Hispanic or Latino","2.6500000000000004"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Massachusetts","White, not Hispanic or Latino","2.65"
"Cancer","3-6 Oropharyngeal cancer deaths (age adjusted per 100,000 standard population)","Massachusetts","Female","1.5749999999999997"
